Name,Label,Intensity,FractionalEnrichment,UnlabeledFragment,NACorrected,CellLine,GrowthConditions,Treatment,Media
glutamate,C13-label-4,0,0,glutamate,-0.243645958,Metmix,NA,NA,NA
glutamate,C13-label-4,6.666667,0.4059,glutamate,6.813694812,ACN,NA,NA,NA
glutamate,C13-label-4,0,0,glutamate,-0.000442613,Water,NA,NA,NA
glutamate,C13-label-4,668.9331,0.0213,glutamate,596.9229741,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-4,0,0.0001,glutamate,0.082202349,CFTr,monolayer,NA,Regular
glutamate,C13-label-4,94.04403,0.0041,glutamate,73.59080053,QC,NA,NA,NA
glutamate,C13-label-4,63.25041,0.0029,glutamate,49.1496633,QC,NA,NA,NA
glutamate,C13-label-4,0,0,glutamate,0.000514116,Metmix,NA,NA,NA
glutamate,C13-label-4,0,0,glutamate,-0.048018196,CFTr,monolayer,NA,Regular
glutamate,C13-label-4,678.2339,0.0205,glutamate,603.0258055,H1299,sphere,NA,C13 glucose
glutamate,C13-label-3,0,0,glutamate,-4.52694574,CFTr,Sphere,treated,Regular
glutamate,C13-label-3,0,0,glutamate,-12.45589608,CFTr,Sphere,NA,Regular
glutamate,C13-label-3,0,0,glutamate,-1.936210962,H1299,sphere,NA,Regular
glutamate,C13-label-3,12,0.0001,glutamate,5.016636568,H1299,sphere,NA,Regular
glutamate,C13-label-3,0,0.0002,glutamate,0.651962768,H1299,monolayer,NA,Regular
glutamate,C13-label-3,24.25806,0.0045,glutamate,15.55217627,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-3,8.333333,0.0029,glutamate,9.068018039,H1299,monolayer,NA,Regular
glutamate,C13-label-3,1499.493,0.0387,glutamate,1290.704644,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-3,40.81535,0.0008,glutamate,32.36753293,CFTr,Sphere,NA,Regular
glutamate,C13-label-3,217.8215,0.0087,glutamate,154.6423036,QC,NA,NA,NA
glutamate,C13-label-3,0,0.0001,glutamate,0.001851302,Water,NA,NA,NA
glutamate,C13-label-3,1033.471,0.0281,glutamate,821.2645743,H1299,sphere,NA,C13 glucose
glutamate,C13-label-3,26.33333,0.0056,glutamate,17.88431737,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-3,0,0.0001,glutamate,0.305011347,CFTr,monolayer,treated,Regular
glutamate,C13-label-3,145.712,0.0069,glutamate,107.9881304,QC,NA,NA,NA
glutamate,C13-label-3,0,0,glutamate,-6.828425292,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-3,254.6301,0.0079,glutamate,146.5044986,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-3,10.33333,0,glutamate,1.032198147,H1299,sphere,NA,Regular
glutamate,C13-label-3,32,0.0119,glutamate,29.05595455,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-3,1136.078,0.0346,glutamate,1006.819363,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-3,0,0.0001,glutamate,0.379151865,CFTr,monolayer,treated,Regular
glutamate,C13-label-3,28.66667,0.008,glutamate,23.64765554,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-3,0,0,glutamate,-0.333625153,CFTr,monolayer,NA,Regular
glutamate,C13-label-3,166.8834,0.0608,glutamate,161.8909601,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-3,0,0,glutamate,-1.789709484,H1299,monolayer,NA,Regular
glutamate,C13-label-3,989.72,0.0313,glutamate,762.4748016,H1299,sphere,NA,C13 glucose
glutamate,C13-label-3,117.7381,0.0038,glutamate,67.19182475,QC,NA,NA,NA
glutamate,C13-label-3,111.0579,0.0318,glutamate,98.77105571,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-3,0,0.0002,glutamate,0.42684829,CFTr,monolayer,treated,Regular
glutamate,C13-label-3,0,0,glutamate,-3.205523733,CFTr,Sphere,treated,Regular
glutamate,C13-label-3,583.9087,0.0193,glutamate,459.1337449,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-3,35.33333,0.0098,glutamate,30.94674824,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-3,710.5309,0.0322,glutamate,647.2725166,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-3,57.49855,0.0285,glutamate,56.16906356,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-3,41.37402,0.0021,glutamate,39.80170301,CFTr,Sphere,treated,Regular
glutamate,C13-label-3,20.66667,0,glutamate,-1.119810749,CFTr,Sphere,NA,Regular
glutamate,C13-label-3,190.7356,0.0077,glutamate,134.7848608,QC,NA,NA,NA
glutamate,C13-label-3,7.333333,0.0149,glutamate,7.717863193,QC,NA,NA,NA
glutamate,C13-label-3,0,0,glutamate,-1.087210358,Water,NA,NA,NA
glutamate,C13-label-3,9.666667,0.2079,glutamate,10.00029631,Metmix,NA,NA,NA
glutamate,C13-label-3,0,0.0002,glutamate,0.002727629,ACN,NA,NA,NA
glutamate,C13-label-3,0,0,glutamate,0.001765918,Water,NA,NA,NA
glutamate,C13-label-3,1205.628,0.0347,glutamate,971.537766,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-3,0,0,glutamate,-0.383852951,CFTr,monolayer,NA,Regular
glutamate,C13-label-3,370.3584,0.0178,glutamate,320.5489808,QC,NA,NA,NA
glutamate,C13-label-3,82.38749,0.0012,glutamate,20.63902437,QC,NA,NA,NA
glutamate,C13-label-3,0,0.0003,glutamate,0.003797413,Metmix,NA,NA,NA
glutamate,C13-label-3,0,0,glutamate,-0.25279475,CFTr,monolayer,NA,Regular
glutamate,C13-label-3,1680.447,0.0512,glutamate,1505.3513,H1299,sphere,NA,C13 glucose
glutamate,C13-label-2,74.16593,0,glutamate,-161.032386,CFTr,Sphere,treated,Regular
glutamate,C13-label-2,96.57951,0,glutamate,-286.7325275,CFTr,Sphere,NA,Regular
glutamate,C13-label-2,82.84603,0,glutamate,-104.7697978,H1299,sphere,NA,Regular
glutamate,C13-label-2,71.93347,0,glutamate,-240.2573803,H1299,sphere,NA,Regular
glutamate,C13-label-2,6.666667,0,glutamate,-15.12407884,H1299,monolayer,NA,Regular
glutamate,C13-label-2,250.1384,0.0672,glutamate,232.9742298,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-2,0,0,glutamate,-23.76406627,H1299,monolayer,NA,Regular
glutamate,C13-label-2,6698.462,0.202,glutamate,6731.461139,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-2,121.9902,0,glutamate,-263.0623108,CFTr,Sphere,NA,Regular
glutamate,C13-label-2,1756.754,0.0939,glutamate,1671.23504,QC,NA,NA,NA
glutamate,C13-label-2,0,0,glutamate,-0.045432334,Water,NA,NA,NA
glutamate,C13-label-2,6377.887,0.2196,glutamate,6428.40231,H1299,sphere,NA,C13 glucose
glutamate,C13-label-2,223.2457,0.0638,glutamate,202.4987269,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-2,0,0,glutamate,-23.72456467,CFTr,monolayer,treated,Regular
glutamate,C13-label-2,1107.309,0.0656,glutamate,1025.760228,QC,NA,NA,NA
glutamate,C13-label-2,201.6667,0.0747,glutamate,194.5464122,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-2,2997.298,0.1608,glutamate,2973.901018,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-2,131.0185,0,glutamate,-106.3354866,H1299,sphere,NA,Regular
glutamate,C13-label-2,98.56551,0.0332,glutamate,81.10674244,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-2,4355.837,0.1486,glutamate,4320.715364,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-2,0,0,glutamate,-22.72400674,CFTr,monolayer,treated,Regular
glutamate,C13-label-2,147.8779,0.0432,glutamate,127.7156565,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-2,0,0,glutamate,-26.28297732,CFTr,monolayer,NA,Regular
glutamate,C13-label-2,274.1146,0.0996,glutamate,265.3672956,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-2,39,0.0141,glutamate,24.27711789,H1299,monolayer,NA,Regular
glutamate,C13-label-2,6693.121,0.2791,glutamate,6792.947532,H1299,sphere,NA,C13 glucose
glutamate,C13-label-2,1481.164,0.0795,glutamate,1414.615162,QC,NA,NA,NA
glutamate,C13-label-2,435.7721,0.1399,glutamate,434.7862544,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-2,0,0,glutamate,-19.71380188,CFTr,monolayer,treated,Regular
glutamate,C13-label-2,98.66666,0,glutamate,-39.15364202,CFTr,Sphere,treated,Regular
glutamate,C13-label-2,3569.852,0.1472,glutamate,3500.503445,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-2,148,0.0408,glutamate,128.8802336,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-2,2120.032,0.1008,glutamate,2022.63355,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-2,78.52531,0.0327,glutamate,64.59723078,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-2,44,0,glutamate,-125.7616053,CFTr,Sphere,treated,Regular
glutamate,C13-label-2,394.1094,0,glutamate,-20.84930046,CFTr,Sphere,NA,Regular
glutamate,C13-label-2,1572.666,0.0848,glutamate,1486.745005,QC,NA,NA,NA
glutamate,C13-label-2,0,0,glutamate,-3.421954168,QC,NA,NA,NA
glutamate,C13-label-2,29.33333,0.8189,glutamate,30.6058366,Water,NA,NA,NA
glutamate,C13-label-2,0,0,glutamate,-0.255869423,Metmix,NA,NA,NA
glutamate,C13-label-2,0,0,glutamate,-0.066954058,ACN,NA,NA,NA
glutamate,C13-label-2,0,0,glutamate,-0.043039883,Water,NA,NA,NA
glutamate,C13-label-2,7182.559,0.2611,glutamate,7301.349169,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-2,0,0,glutamate,-16.21059554,CFTr,monolayer,NA,Regular
glutamate,C13-label-2,1731.483,0.0937,glutamate,1687.911795,QC,NA,NA,NA
glutamate,C13-label-2,1765.729,0.1003,glutamate,1721.825178,QC,NA,NA,NA
glutamate,C13-label-2,0,0,glutamate,-0.093260805,Metmix,NA,NA,NA
glutamate,C13-label-2,16.66667,0.0008,glutamate,1.720944755,CFTr,monolayer,NA,Regular
glutamate,C13-label-2,6100.924,0.2099,glutamate,6169.884843,H1299,sphere,NA,C13 glucose
glutamate,C13-label-1,1191.786,0,glutamate,-282.3949218,CFTr,Sphere,treated,Regular
glutamate,C13-label-1,2558.182,0.0116,glutamate,459.2275704,CFTr,Sphere,NA,Regular
glutamate,C13-label-1,690.1455,0,glutamate,-619.378534,H1299,sphere,NA,Regular
glutamate,C13-label-1,1821.763,0,glutamate,-10.20752292,H1299,sphere,NA,Regular
glutamate,C13-label-1,0,0,glutamate,-189.2515225,H1299,monolayer,NA,Regular
glutamate,C13-label-1,143.8732,0,glutamate,-30.72643948,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-1,53.08134,0,glutamate,-125.1511555,H1299,monolayer,NA,Regular
glutamate,C13-label-1,2193.669,0.0284,glutamate,945.9776035,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-1,2198.188,0,glutamate,-97.43935244,CFTr,Sphere,NA,Regular
glutamate,C13-label-1,1238.403,0.0237,glutamate,421.1575607,QC,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-0.389247956,Water,NA,NA,NA
glutamate,C13-label-1,2031.673,0.0335,glutamate,980.0514136,H1299,sphere,NA,C13 glucose
glutamate,C13-label-1,238.0509,0.0278,glutamate,88.10009234,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-1,68.58716,0,glutamate,-101.8992907,CFTr,monolayer,treated,Regular
glutamate,C13-label-1,708.7932,0,glutamate,-77.46488402,QC,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-138.6268126,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-1,1223.822,0.0246,glutamate,454.307998,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-1,1523.894,0.0067,glutamate,168.0199993,H1299,sphere,NA,Regular
glutamate,C13-label-1,129.2601,0.0014,glutamate,3.499255205,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-1,1548.491,0.0107,glutamate,310.7024982,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-1,56.66667,0,glutamate,-110.9426134,CFTr,monolayer,treated,Regular
glutamate,C13-label-1,163.8107,0.0042,glutamate,12.41322606,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-1,145.6613,0,glutamate,-9.922717782,CFTr,monolayer,NA,Regular
glutamate,C13-label-1,130,0.0044,glutamate,11.65253498,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-1,105.0672,0.0082,glutamate,14.11558314,H1299,monolayer,NA,Regular
glutamate,C13-label-1,2077.439,0.0554,glutamate,1348.799463,H1299,sphere,NA,C13 glucose
glutamate,C13-label-1,509.5882,0,glutamate,-387.234715,QC,NA,NA,NA
glutamate,C13-label-1,68.33334,0,glutamate,-75.20591732,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-1,39,0,glutamate,-111.2602832,CFTr,monolayer,treated,Regular
glutamate,C13-label-1,553.5237,0,glutamate,-400.751186,CFTr,Sphere,treated,Regular
glutamate,C13-label-1,2190.897,0.0534,glutamate,1269.321406,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-1,116.4664,0,glutamate,-48.66492905,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-1,1675.662,0.0411,glutamate,825.7018343,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-1,108.6753,0.0056,glutamate,11.04234116,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-1,862.7669,0,glutamate,-196.3771323,CFTr,Sphere,treated,Regular
glutamate,C13-label-1,2642.03,0.0044,glutamate,197.4837136,CFTr,Sphere,NA,Regular
glutamate,C13-label-1,1070.328,0.0137,glutamate,240.2028207,QC,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-29.31651808,QC,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-0.389247948,Water,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-2.192080872,Metmix,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-0.573628573,ACN,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-0.368761293,Water,NA,NA,NA
glutamate,C13-label-1,1664.043,0.0255,glutamate,711.9795416,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-1,108.3177,0.0129,glutamate,21.18539916,CFTr,monolayer,NA,Regular
glutamate,C13-label-1,295.6707,0,glutamate,-602.8469008,QC,NA,NA,NA
glutamate,C13-label-1,411.3961,0,glutamate,-447.8672739,QC,NA,NA,NA
glutamate,C13-label-1,0,0,glutamate,-0.798982673,Metmix,NA,NA,NA
glutamate,C13-label-1,28.33333,0,glutamate,-92.58909687,CFTr,monolayer,NA,Regular
glutamate,C13-label-1,1362.042,0.0087,glutamate,255.1508971,H1299,sphere,NA,C13 glucose
glutamate,C12 PARENT,25082.55,1,glutamate,26795.76923,CFTr,Sphere,treated,Regular
glutamate,C12 PARENT,36505.32,0.988,glutamate,38998.75134,CFTr,Sphere,NA,Regular
glutamate,C12 PARENT,21941.89,1,glutamate,23440.592,H1299,sphere,NA,Regular
glutamate,C12 PARENT,31483.7,0.9993,glutamate,33634.13846,H1299,sphere,NA,Regular
glutamate,C12 PARENT,3079.253,0.9998,glutamate,3289.575932,H1299,monolayer,NA,Regular
glutamate,C12 PARENT,2973.24,0.9167,glutamate,3176.321901,CFTr,monolayer,NA,C13 glucose
glutamate,C12 PARENT,2948.808,0.9971,glutamate,3150.221117,H1299,monolayer,NA,Regular
glutamate,C12 PARENT,22319.28,0.7154,glutamate,23843.75896,CFTr,Sphere,NA,C13 glucose
glutamate,C12 PARENT,39374.08,0.9992,glutamate,42063.45692,CFTr,Sphere,NA,Regular
glutamate,C12 PARENT,14436.65,0.8666,glutamate,15422.71985,QC,NA,NA,NA
glutamate,C12 PARENT,6.333333,0.4982,glutamate,6.765920103,Water,NA,NA,NA
glutamate,C12 PARENT,18980.03,0.6927,glutamate,20276.42739,H1299,sphere,NA,C13 glucose
glutamate,C12 PARENT,2658.843,0.8952,glutamate,2840.45057,CFTr,monolayer,treated,C13 glucose
glutamate,C12 PARENT,2837.042,0.9974,glutamate,3030.821138,CFTr,monolayer,treated,Regular
glutamate,C12 PARENT,13445.15,0.9189,glutamate,14363.4972,QC,NA,NA,NA
glutamate,C12 PARENT,2255.554,0.9253,glutamate,2409.615628,CFTr,monolayer,NA,C13 glucose
glutamate,C12 PARENT,13646.61,0.7885,glutamate,14578.71757,CFTr,Sphere,treated,C13 glucose
glutamate,C12 PARENT,23463.2,0.9923,glutamate,25065.81239,H1299,sphere,NA,Regular
glutamate,C12 PARENT,2165.153,0.9471,glutamate,2313.039948,CFTr,monolayer,treated,C13 glucose
glutamate,C12 PARENT,21564.5,0.7925,glutamate,23037.42504,CFTr,Sphere,NA,C13 glucose
glutamate,C12 PARENT,2779.26,0.9998,glutamate,2969.09244,CFTr,monolayer,treated,Regular
glutamate,C12 PARENT,2614.07,0.9446,glutamate,2792.61943,CFTr,monolayer,NA,C13 glucose
glutamate,C12 PARENT,2665.488,1,glutamate,2847.549445,CFTr,monolayer,NA,Regular
glutamate,C12 PARENT,2045.213,0.8205,glutamate,2184.907658,H1299,monolayer,NA,C13 glucose
glutamate,C12 PARENT,1576.522,0.9777,glutamate,1684.203548,H1299,monolayer,NA,Regular
glutamate,C12 PARENT,13767,0.6043,glutamate,14707.33059,H1299,sphere,NA,C13 glucose
glutamate,C12 PARENT,15060.82,0.904,glutamate,16089.52268,QC,NA,NA,NA
glutamate,C12 PARENT,2398.359,0.8243,glutamate,2562.174671,H1299,monolayer,NA,C13 glucose
glutamate,C12 PARENT,2480.724,0.9946,glutamate,2650.165467,CFTr,monolayer,treated,Regular
glutamate,C12 PARENT,16036.03,1,glutamate,17131.34268,CFTr,Sphere,treated,Regular
glutamate,C12 PARENT,17010.6,0.7643,glutamate,18172.47896,CFTr,Sphere,treated,C13 glucose
glutamate,C12 PARENT,2793.966,0.9459,glutamate,2984.802908,CFTr,monolayer,treated,C13 glucose
glutamate,C12 PARENT,15371.28,0.818,glutamate,16421.1881,CFTr,Sphere,treated,C13 glucose
glutamate,C12 PARENT,1688.552,0.9144,glutamate,1803.885559,H1299,monolayer,NA,C13 glucose
glutamate,C12 PARENT,18026.87,0.9979,glutamate,19258.16348,CFTr,Sphere,treated,Regular
glutamate,C12 PARENT,42205.49,0.995,glutamate,45088.26137,CFTr,Sphere,NA,Regular
glutamate,C12 PARENT,14491.56,0.8834,glutamate,15481.38038,QC,NA,NA,NA
glutamate,C12 PARENT,477,0.9851,glutamate,509.5806416,QC,NA,NA,NA
glutamate,C12 PARENT,6.333333,0.181,glutamate,6.765920113,Water,NA,NA,NA
glutamate,C12 PARENT,35.66667,0.7921,glutamate,38.10281883,Metmix,NA,NA,NA
glutamate,C12 PARENT,9.333333,0.594,glutamate,9.970829799,ACN,NA,NA,NA
glutamate,C12 PARENT,6,0.1668,glutamate,6.409819377,Water,NA,NA,NA
glutamate,C12 PARENT,17021.88,0.6503,glutamate,18184.52942,CFTr,Sphere,NA,C13 glucose
glutamate,C12 PARENT,1517.37,0.987,glutamate,1621.011275,CFTr,monolayer,NA,Regular
glutamate,C12 PARENT,14891.56,0.8834,glutamate,15908.70168,QC,NA,NA,NA
glutamate,C12 PARENT,14359.35,0.8933,glutamate,15340.14001,QC,NA,NA,NA
