Date,Max Temp (C),Min Temp (C),Mean Temp (C),Total Rain (mm),Total Snow (cm)
2014-04-10,16.2,-1.6,7.3,4,0
2014-04-11,11.8,2.9,7.4,0,0
2014-04-12,14.3,1.5,7.9,0,0
2014-04-13,11.7,2.6,7.2,8.2,0
2014-04-14,24.5,2.2,13.4,9,0
2014-04-15,16.2,-5.1,5.6,8.6,0.4
2014-04-16,0.6,-7.3,-3.4,0,0
2014-04-17,7.7,-2.9,2.4,0,0
2014-04-18,10.8,1.7,6.3,0,0
2014-04-19,10.6,0.9,5.8,0.4,0
2014-04-20,14.1,-2.6,5.8,0,0
2014-04-21,19.2,7.4,13.3,1.2,0
2014-04-22,12.7,7,9.9,10.4,0
2014-04-23,11.8,3.6,7.7,0,0
2014-04-24,13.2,1.4,7.3,0,0
2014-04-25,11.9,-0.3,5.8,0,0
2014-04-26,8.4,2.8,5.6,11.4,0
2014-04-27,10.4,2.3,6.4,2,0
2014-04-28,12.3,1.8,7.1,0,0
2014-04-29,16.5,5.7,11.1,2.8,0
2014-04-30,10.6,5.1,7.9,30.8,0
2014-05-01,16.1,6.1,11.1,8.2,0
2014-05-02,13,8.1,10.6,0.6,0
2014-05-03,16.3,7.9,12.1,0.8,0
2014-05-04,12,7.3,9.7,19.4,0
2014-05-05,13.4,6.3,9.9,0,0
2014-05-06,15,4.2,9.6,0,0
2014-05-07,15.8,3.2,9.5,0,0
2014-05-08,16.8,5.2,11,0,0
2014-05-09,20.8,8.8,14.8,4.2,0
2014-05-10,23.8,11.9,17.9,4.4,0
2014-05-11,21.9,11.4,16.7,0,0
2014-05-12,22.4,9.1,15.8,0,0
2014-05-13,18.4,8.3,13.4,1.4,0
2014-05-14,24.9,13.6,19.3,0,0
2014-05-15,28.2,17.5,22.9,0,0
2014-05-16,22.2,10.3,16.3,29.8,0
2014-05-17,15.4,8.3,11.9,10.8,0
2014-05-18,16.6,6.3,11.5,0,0
2014-05-19,20.2,9.2,14.7,0,0
2014-05-20,22.8,8.7,15.8,0,0
2014-05-21,23.8,10.4,17.1,0,0
2014-05-22,19,12.9,16,1,0
2014-05-23,20.8,10.8,15.8,0,0
2014-05-24,21.4,11.4,16.4,0,0
2014-05-25,25.2,9.4,17.3,4.6,0
2014-05-26,22.8,16.3,19.6,3.6,0
2014-05-27,16.9,8.6,12.8,4.2,0
2014-05-28,16.1,8.1,12.1,0.6,0
2014-05-29,20.5,6.1,13.3,0,0
2014-05-30,22.6,12,17.3,2,0
2014-05-31,20.2,9.1,14.7,0,0
2014-06-01,25.2,9.7,17.5,0,0
2014-06-02,30.4,15.7,23.1,0,0
2014-06-03,28.1,19.1,23.6,22,0
2014-06-04,21.3,14,17.7,0.2,0
2014-06-05,17,13.4,15.2,0.6,0
2014-06-06,23,12.9,18,0,0
2014-06-07,27.5,13.3,20.4,0,0
2014-06-08,28,14.6,21.3,0,0
2014-06-09,27.9,19.2,23.6,0,0
2014-06-10,24.6,15.8,20.2,0.4,0
2014-06-11,24.1,13.1,18.6,10.4,0
2014-06-12,17.9,12.9,15.4,26.2,0
2014-06-13,19.9,16.8,18.4,41.4,0
2014-06-14,19.8,14.6,17.2,1.4,0
2014-06-15,23.6,13.6,18.6,0,0
2014-06-16,24.8,11.4,18.1,0,0
2014-06-17,27.2,14,20.6,23.4,0
2014-06-18,25.7,16.6,21.2,2,0
2014-06-19,24.6,14.6,19.6,0,0
2014-06-20,21.7,12.1,16.9,0,0
2014-06-21,22.1,10.4,16.3,0,0
2014-06-22,23.8,11.5,17.7,0,0
2014-06-23,26.8,13.4,20.1,0,0
2014-06-24,21.9,19.2,20.6,40,0
2014-06-25,24,18.2,21.1,0.2,0
2014-06-26,26.3,17,21.7,0,0
2014-06-27,28.4,15,21.7,0,0
2014-06-28,29.2,16.3,22.8,0,0
2014-06-29,30.7,19.1,24.9,0,0
2014-06-30,29.7,22.8,26.3,0,0
2014-07-01,33.2,21.6,27.4,0,0
2014-07-02,29.8,21.2,25.5,0,0
2014-07-03,24.4,18.9,21.7,0.6,0
2014-07-04,23.4,16,19.7,3.2,0
2014-07-05,27.7,14.5,21.1,0,0
2014-07-06,27.7,18.7,23.2,0,0
2014-07-07,23.4,19.5,21.5,10,0
2014-07-08,30.6,19,24.8,7,0
2014-07-09,23.5,17.7,20.6,0,0
2014-07-10,23.1,14.3,18.7,0,0
2014-07-11,25.4,13.4,19.4,0,0
2014-07-12,27.4,16,21.7,0,0
2014-07-13,23.9,19.6,21.8,11,0
2014-07-14,24.1,17.6,20.9,0,0
2014-07-15,21.9,17.6,19.8,2.8,0
2014-07-16,24.8,16.6,20.7,0,0
2014-07-17,23.4,14,18.7,0.2,0
2014-07-18,26.2,14,20.1,0,0
2014-07-19,27.5,16.5,22,0,0
2014-07-20,28,18.9,23.5,0,0
2014-07-21,29.4,20.8,25.1,0,0
2014-07-22,29.7,20.5,25.1,0,0
2014-07-23,26.4,17.7,22.1,11.4,0
2014-07-24,22.9,13.8,18.4,0,0
2014-07-25,25.8,14.7,20.3,0,0
2014-07-26,26,15.9,21,0.2,0
2014-07-27,25,18,21.5,10.2,0
2014-07-28,18.5,14.2,16.4,9.8,0
2014-07-29,21.3,12,16.7,0,0
2014-07-30,24,13.8,18.9,0.8,0
2014-07-31,21.8,14.3,18.1,12.8,0
2014-08-01,26.1,14.8,20.5,0,0
2014-08-02,27.8,16.1,22,0,0
2014-08-03,28,16.6,22.3,0,0
2014-08-04,27.7,18.3,23,0.6,0
2014-08-05,25.4,17.7,21.6,1.6,0
2014-08-06,25.6,14.9,20.3,0,0
2014-08-07,23.1,15.9,19.5,6.2,0
2014-08-08,27,14,20.5,0,0
2014-08-09,28.7,15.4,22.1,0,0
2014-08-10,28.6,16.6,22.6,0,0
2014-08-11,29.7,17.8,23.8,0,0
2014-08-12,27.9,19.1,23.5,2.2,0
2014-08-13,21.1,16,18.6,44.4,0
2014-08-14,17.6,12,14.8,0,0
2014-08-15,17.5,12.2,14.9,5.2,0
2014-08-16,18.5,14.6,16.6,13.2,0
2014-08-17,22.8,14.6,18.7,0,0
2014-08-18,22.2,11.7,17,0,0
2014-08-19,23.5,10.6,17.1,0,0
2014-08-20,27.3,12.8,20.1,0,0
2014-08-21,23.1,17.9,20.5,0,0
2014-08-22,23.8,17.3,20.6,0,0
2014-08-23,26,14.7,20.4,0,0
2014-08-24,27.7,14.5,21.1,0,0
2014-08-25,28.9,17.6,23.3,0,0
2014-08-26,28.6,17,22.8,0.4,0
2014-08-27,25.6,18.4,22,0,0
2014-08-28,21.9,14.2,18.1,0,0
2014-08-29,22.6,11.4,17,0,0
2014-08-30,27.3,16.7,22,0.2,0
2014-08-31,25.3,19.8,22.6,11.2,0
2014-09-01,25.9,18.7,22.3,0,0
2014-09-02,28.6,18.3,23.5,4.4,0
2014-09-03,25.5,18,21.8,0,0
2014-09-04,27.7,16.3,22,0.4,0
2014-09-05,30.8,20.1,25.5,3,0
2014-09-06,23.2,10.6,16.9,5,0
2014-09-07,22.1,10.6,16.4,0,0
2014-09-08,24.7,11.4,18.1,0,0
2014-09-09,23.1,14.3,18.7,0,0
2014-09-10,24.8,14.6,19.7,0,0
2014-09-11,25.1,10.1,17.6,7.2,0
2014-09-12,14.1,6.1,10.1,0,0
2014-09-13,12.6,5.9,9.3,19,0
2014-09-14,10.9,4.6,7.8,0,0
2014-09-15,18.3,4.8,11.6,0.2,0
2014-09-16,18.6,9.3,14,0.4,0
2014-09-17,17.2,8,12.6,2.6,0
2014-09-18,12.4,3.4,7.9,0.2,0
2014-09-19,13,1.2,7.1,0,0
2014-09-20,19.8,9.2,14.5,0.2,0
2014-09-21,23.2,14,18.6,6.2,0
2014-09-22,14,6.9,10.5,0,0
2014-09-23,17.2,7.3,12.3,1.2,0
2014-09-24,21.8,6.7,14.3,0,0
2014-09-25,22.8,10.8,16.8,0,0
2014-09-26,25.5,11.9,18.7,0,0
2014-09-27,25.5,12.8,19.2,0,0
2014-09-28,24.8,14.8,19.8,0,0
2014-09-29,18,8.7,13.4,0,0
2014-09-30,17.3,9.3,13.3,0,0
2014-10-01,16.6,10.4,13.5,0,0
2014-10-02,20.3,8.7,14.5,0,0
2014-10-03,23.1,8.8,16,0,0
2014-10-04,16.6,9.8,13.2,23.6,0
2014-10-05,13.7,7.9,10.8,0,0
2014-10-06,16.3,8,12.2,0.4,0
2014-10-07,18.2,11.9,15.1,4,0
2014-10-08,17.5,8.7,13.1,19.8,0
2014-10-09,12.5,5.2,8.9,0.8,0
2014-10-10,11.8,4.6,8.2,0,0
2014-10-11,13.1,2.6,7.9,0,0
2014-10-12,13.2,2.6,7.9,0,0
2014-10-13,17.8,2.2,10,0,0
2014-10-14,24.8,13.7,19.3,0,0
2014-10-15,23.6,18.2,20.9,6.4,0
2014-10-16,21.7,14.6,18.2,7.6,0
2014-10-17,18.4,14.3,16.4,0.4,0
2014-10-18,16.9,5.9,11.4,1.4,0
2014-10-19,7.5,3,5.3,0,0
2014-10-20,6.8,1.8,4.3,1.2,0
2014-10-21,7.4,5.6,6.5,3,0
2014-10-22,12.6,6,9.3,0,0
2014-10-23,8.6,6.9,7.8,5.8,0
2014-10-24,11.5,4.9,8.2,1,0
2014-10-25,13.1,5.2,9.2,3.8,0
2014-10-26,10.9,7.2,9.1,0.8,0
2014-10-27,11.2,5.7,8.5,0.2,0
2014-10-28,13.7,7,10.4,6.2,0
2014-10-29,14.2,8.5,11.4,0.6,0
2014-10-30,10,2.8,6.4,0,0
2014-10-31,7.2,1.5,4.4,0,0
2014-11-01,6.9,1.9,4.4,0,0
2014-11-02,7.6,-0.3,3.7,0,0
2014-11-03,6.3,-1,2.7,0,0
2014-11-04,11.7,4.3,8,2.4,0
2014-11-05,12.2,5.7,9,2,0
2014-11-06,8.3,2.6,5.5,3,0
2014-11-07,4.8,-0.2,2.3,1.8,0
2014-11-08,4.4,-1.4,1.5,0.2,0
2014-11-09,6.5,2.7,4.6,0,0
2014-11-10,7.1,3.5,5.3,0,0
2014-11-11,12.5,0.2,6.4,0,0
2014-11-12,8.4,1.6,5,3.8,0
2014-11-13,4.7,-0.8,2,0,0
2014-11-14,2.1,-4,-1,0,0
2014-11-15,1.6,-4.9,-1.7,0,0
2014-11-16,3.3,-0.6,1.4,0,0.8
2014-11-17,1.5,-0.6,0.5,0,12.6
2014-11-18,1.5,-4.7,-1.6,0,2
2014-11-19,-2,-7.7,-4.9,0,0.6
2014-11-20,-0.1,-5.1,-2.6,0,0.4
2014-11-21,-4.6,-8.2,-6.4,0,0
2014-11-22,3,-7.9,-2.5,3.4,0.4
2014-11-23,7.9,2.8,5.4,0,0
2014-11-24,18,6.8,12.4,16,0
2014-11-25,7.8,2,4.9,0,0
2014-11-26,2.5,-0.9,0.8,0,0
2014-11-27,-0.1,-3.8,-2,0,0
2014-11-28,-2.8,-8.2,-5.5,0,0.4
2014-11-29,-0.8,-8.3,-4.6,0,0
2014-11-30,6.8,-0.9,3,0.6,0
2014-12-01,6.2,-8.7,-1.3,0.2,0
2014-12-02,-3.2,-14.9,-9.1,0,6.2
2014-12-03,3.3,-3.2,0.1,5.4,0.6
2014-12-04,0.1,-11.3,-5.6,0,0
2014-12-05,-4.6,-13.1,-8.9,0,2.2
2014-12-06,-1.1,-6,-3.6,0,0.6
2014-12-07,-4.9,-12.9,-8.9,0,0
2014-12-08,-2.3,-13.9,-8.1,0,0
2014-12-09,0.2,-4.8,-2.3,0,6.8
2014-12-10,0.2,-0.8,-0.3,0,20
2014-12-11,0.4,-3.2,-1.4,0.2,4.8
2014-12-12,-1.7,-4.2,-3,0,2
2014-12-13,-1.6,-5.9,-3.8,0,0
2014-12-14,-0.9,-4.8,-2.9,0,0
2014-12-15,-0.1,-1.9,-1,0,0
2014-12-16,0.6,-1.4,-0.4,0,0
2014-12-17,0.6,-0.2,0.2,2,0.2
2014-12-18,0.4,-2.4,-1,0,2
2014-12-19,-2.4,-11.5,-7,0,0
2014-12-20,-7.7,-15.6,-11.7,0,0
2014-12-21,-7.2,-10.3,-8.8,0,0.2
2014-12-22,-5.5,-8.6,-7.1,0,0
2014-12-23,3.1,-5.8,-1.4,2.6,3
2014-12-24,6.2,2.3,4.3,32,0
2014-12-25,7.8,3.5,5.7,1,0
2014-12-26,4.5,1.4,3,0,0
2014-12-27,7.4,0.9,4.2,0.2,0
2014-12-28,8.3,-3.3,2.5,0.8,0
2014-12-29,-0.7,-11.1,-5.9,0,0
2014-12-30,-10.6,-14.5,-12.6,0,0
2014-12-31,-6.3,-14.9,-10.6,0,0
