Name,Party,Province,Age,Gender
"Stewart, Kennedy",NDP,British Columbia,46,Male
"Cleary, Ryan",NDP,Newfoundland and Labrador,46,Male
"Côté, Raymond",NDP,Quebec,45,Male
"Clarke, Rob",Conservative,Saskatchewan,45,Male
"Brison, Scott",Liberal,Nova Scotia,45,Male
"Butt, Brad",Conservative,Ontario,45,Male
"Rickford, Greg",Conservative,Ontario,45,Male
"LeBlanc, Dominic",Liberal,New Brunswick,45,Male
"Hoback, Randy",Conservative,Saskatchewan,45,Male
"Caron, Guy",NDP,Quebec,44,Male
"Brahmi, Tarik",NDP,Quebec,44,Male
"Kenney, Jason",Conservative,Alberta,44,Male
"Masse, Brian",NDP,Ontario,44,Male
"Alexander, Chris",Conservative,Ontario,44,Male
"Zimmer, Bob",Conservative,British Columbia,44,Male
"Calkins, Blaine",Conservative,Alberta,44,Male
"Baird, John",Conservative,Ontario,43,Male
"Lake, Mike",Conservative,Alberta,43,Male
"Simms, Scott",Liberal,Newfoundland and Labrador,43,Male
"Thibeault, Glenn",NDP,Ontario,43,Male
"Williamson, John",Conservative,New Brunswick,42,Male
"Calandra, Paul",Conservative,Ontario,42,Male
"Chicoine, Sylvain",NDP,Quebec,42,Male
"Del Mastro, Dean",Conservative,Ontario,42,Male
"Rajotte, James",Conservative,Alberta,42,Male
"Seeback, Kyle",Conservative,Ontario,42,Male
"Watson, Jeff",Conservative,Ontario,41,Male
"Lapointe, François",NDP,Quebec,41,Male
"Nicholls, Jamie",NDP,Quebec,41,Male
"Chong, Michael D.",Conservative,Ontario,41,Male
"Trudeau, Justin",Liberal,Quebec,41,Male
"Larose, Jean-François",NDP,Quebec,40,Male
"Anders, Rob",Conservative,Alberta,40,Male
"Fletcher, Steven John",Conservative,Manitoba,40,Male
"Cullen, Nathan",NDP,British Columbia,40,Male
"Ravignat, Mathieu",NDP,Quebec,39,Male
"Bruinooge, Rod",Conservative,Manitoba,39,Male
"Mai, Hoang",NDP,Quebec,39,Male
"Boulerice, Alexandre",NDP,Quebec,39,Male
"Fortin, Jean-François",Bloc Quebecois,Quebec,39,Male
"Leef, Ryan",Conservative,Territories,38,Male
"Paradis, Christian",Conservative,Quebec,38,Male
"Choquette, François",NDP,Quebec,38,Male
"Moore, Rob",Conservative,New Brunswick,38,Male
"Trost, Brad",Conservative,Saskatchewan,38,Male
"Gill, Parm",Conservative,Ontario,38,Male
"Hillyer, Jim",Conservative,Alberta,38,Male
"Richards, Blake",Conservative,Alberta,38,Male
"Uppal, Tim",Conservative,Alberta,38,Male
"Andrews, Scott",Liberal,Newfoundland and Labrador,37,Male
"Moore, James",Conservative,British Columbia,36,Male
"Lobb, Ben",Conservative,Ontario,36,Male
"Albas, Dan",Conservative,British Columbia,36,Male
"Storseth, Brian",Conservative,Alberta,34,Male
"Strahl, Mark",Conservative,British Columbia,34,Male
"Brown, Patrick W.",Conservative,Ontario,34,Male
"Warkentin, Chris",Conservative,Alberta,34,Male
"Scheer, Andrew",Conservative,Saskatchewan,33,Male
"Poilievre, Pierre",Conservative,Ontario,33,Male
"Genest-Jourdain, Jonathan",NDP,Quebec,33,Male
"Harris, Dan",NDP,Ontario,33,Male
"Tremblay, Jonathan",NDP,Quebec,28,Male
"Morin, Dany",NDP,Quebec,27,Male
"Dubé, Matthew",NDP,Quebec,24,Male
"Dusseault, Pierre-Luc",NDP,Quebec,21,Male
"O'Toole, Erin",Conservative,Ontario,,Male
